"","stress","coffee","spritz","stats_knowledge","software_used","age"
"1",39.3295292813946,3,1,1.6,"spSS",25
"2",37.4004377814446,1,1,3.9,"spss",29
"3",27.0846002705771,4,3,6.2,"spSs",27
"4",35.3087852823437,0,0,2.2,"ExcEl",26
"5",10.0477873037861,3,1,5.2,"R",25
"6",30.5025785054323,1,1,6.7,"EXCeL",30
"7",47.9264889353157,3,1,5.6,"eXCel",28
"8",18.0666622452326,2,NA,6.2,"R",24
"9",56.7189781806359,1,2,0.6,"excEl",25
"10",24.0489364375107,5,2,4.2,"r",26
"11",13.3176946962466,2,1,5.9,"R",24
"12",29.1164167712084,3,3,4.5,"EXCEl",26
"13",39.1888448336171,4,1,9.8,"exCeL",26
"14",34.8816282667661,2,NA,4.2,"sPss",28
"15",42.7032255560282,5,5,1,"Spss",26
"16",18.8880223189059,3,2,3.8,"R",25
"17",18.4612620172105,1,4,9.6,"EXcEl",28
"18",34.4103292260424,6,2,5.4,"EXcEL",24
"19",18.6734559156798,7,6,9.7,"sPSs",NA
"20",60.4104239005586,NA,1,3.9,"EXCeL",28
"21",36.5557892522049,5,3,6.3,"SPsS",25
"22",68.1223895421569,4,1,0.5,"ExCEl",29
"23",28.0888059356582,2,2,6.9,"SpSs",23
"24",8.06719793909089,2,6,9.8,"R",28
"25",29.464967782273,6,4,7.5,"spsS",NA
"26",15.3251695737877,5,2,8,"R",27
"27",19.0634185842853,4,NA,9.1,"sPSs",28
"28",53.0454275874763,1,0,3.2,NA,24
"29",10.6145005727528,4,2,5.4,NA,27
"30",31.1893656138861,4,NA,4,"sPsS",24
"31",25.0316837922765,5,4,7.6,"SpSS",27
"32",20.4361482842901,2,3,1.3,"R",23
"33",13.5978464788777,5,3,8.4,"R",27
"34",40.0510114688672,1,2,NA,"exCEl",23
"35",20.1495719116306,2,2,6.4,"R",28
"36",26.5190828523935,1,1,9.2,NA,23
"37",51.7316915315484,5,2,2.4,"spSs",27
"38",16.3900143050552,4,2,1.3,"r",26
"39",13.1401210736678,1,2,3.8,"R",28
"40",21.0311503068121,4,3,4.7,"r",NA
"41",47.3513896209864,6,3,5.1,"eXcEL",25
"42",25.2225384029214,4,1,8.1,"spss",29
"43",50.3029896722853,4,3,2.1,"exCEl",NA
"44",31.5033670269256,4,2,5.9,"SpSS",29
"45",19.7008595093287,2,3,9.6,"sPss",30
"46",24.6388809276079,0,4,6.8,"ExcEL",28
"47",13.9990740801081,1,7,5.1,"r",28
"48",38.7879044039785,4,3,4.6,"spSS",28
"49",15.2883479101684,4,0,7.7,"R",29
"50",14.801297156215,7,2,4.8,"R",28
"51",21.9014232192474,2,5,6,"ExCel",25
"52",10.4364007427509,4,2,5.8,"r",27
"53",19.6561593497165,NA,3,9.9,"SPSS",24
"54",41.8522259129272,5,2,3.1,"ExceL",27
"55",14.6761829765964,3,NA,7.1,"r",27
"56",24.7436341336455,3,4,7,"eXCeL",25
"57",24.7376592219127,3,1,3.6,"sPss",26
"58",19.925191057977,3,4,9.5,"EXCel",29
"59",10.466047983147,3,0,9.1,NA,28
"60",23.8132236096581,2,4,7.1,"Spss",28
"61",15.9089196321711,2,2,3.1,"r",25
"62",74.8880491237197,4,2,0.6,"exceL",27
"63",30.4478830156398,2,1,9.3,"SpSS",28
"64",27.385676746368,1,1,1.6,NA,27
"65",17.9686192632732,4,1,3.7,"R",27
"66",12.2309364779576,2,0,7,"R",26
"67",12.5427153286334,3,2,8.6,"r",26
"68",28.7166955182797,2,1,9.5,"ExCel",25
"69",26.1246414381888,1,3,5.7,"eXCEl",24
"70",19.8328221392279,2,2,9.3,"spSS",26
"71",27.4902468725264,1,3,2.2,"spSS",27
"72",41.2657912810268,1,2,0.2,"ExCEl",26
"73",35.9408177826743,3,0,9.2,"spSS",29
"74",44.937323972611,3,2,4.6,"eXcEl",29
"75",29.2379036787396,2,3,8.6,"EXcel",30
"76",26.4413411853914,2,2,5.6,"eXCeL",27
"77",27.2431639648882,7,2,7.4,"EXCEl",24
"78",26.8735850553977,1,1,5.6,"eXCEL",25
"79",27.2824280154611,3,2,NA,"ExCEl",25
"80",56.3676850703077,5,2,2.9,"SpsS",27
"81",31.7873297552728,3,3,4.5,"SpsS",25
"82",26.1393340907649,2,1,9,"EXceL",28
"83",27.2978723554143,3,2,7.4,"ExCEL",24
"84",49.5944139355143,2,1,4.1,"SPsS",29
"85",41.9698329752824,3,0,8.6,"ExcEl",30
"86",30.7081371785494,4,0,9.2,"SPSS",29
"87",8.8569847804327,3,3,9.6,"r",28
"88",10.4552213340974,3,4,6.3,NA,29
"89",47.0962820094612,1,2,1.9,"SPss",29
"90",26.832723849574,5,4,8.8,"excEl",24
"91",11.6034647948795,1,1,6,"R",29
"92",50.4813119622289,1,NA,1,"excEL",27
"93",11.2566197742932,2,4,8.8,"r",26
"94",11.2954599696966,2,2,7.6,"r",30
"95",47.797479624414,3,2,4.4,"spSS",29
"96",12.9920903753255,3,6,7.2,"R",29
"97",42.5736043103391,2,3,3.2,"SPsS",23
"98",21.635705448015,4,0,1.5,"R",27
"99",46.2646924368734,1,1,4.8,"EXCeL",26
"100",8.6581808587984,1,2,6.3,"R",24
